conversation_id,conversation,predicted_primary,predicted_secondary,predicted_tertiary,confidence,latency_ms,input_tokens,output_tokens
1,"Agent: Thank you for calling BrownBox Customer Support. My name is Tom. How may I assist you today?

Customer: Hi Tom, I'm trying to log in to my account to purchase an Oven Toaster Grill (OTG), but I'm unable to proceed as it's asking for mobile number or email verification. Can you help me with that?

Agent: Sure, I can assist you with that. May I know your registered mobile number or email address, please?

Customer: My registered mobile number is +1 123-456-7890.

Agent: Thank you. Let me check that for you. I'm sorry to inform you that we don't have this number on our records. Can you please confirm if this is the correct number?

Customer: Oh, I'm sorry. I might have registered with a different number. Can you please check with my email address instead? It's johndoe@email.com.

Agent: Sure, let me check that for you. (After a few moments) I see that we have your email address on our records. We'll be sending you a verification code shortly. Please check your email and let me know once you receive it.

Customer: Okay, I received the code. What do I do with it?

Agent: Please enter the verification code in the field provided and click on 'Verify'. Once your email address is verified, you'll be able to proceed with your purchase.

Customer: Okay, I entered the code, and it's verified now. Thank you for your help.

Agent: You're welcome. Is there anything else I can assist you with?

Customer: No, that's all. Thank you.

Agent: You're welcome. Have a great day!",ERROR,ERROR,ERROR,0.0,0,0,0
2,"Agent: Thank you for calling BrownBox customer support. My name is Alex. How may I assist you today?

Customer: Hi Alex. I recently received an email from BrownBox requesting me to ship back the computer monitor I purchased last week. Can you please tell me why I am being asked to ship it back?

Agent: Sure, I'll be happy to help you with that. May I have your order number, please?

Customer: Yes, it's 789101.

Agent: Thank you. Let me check the details of your order. (After a few seconds) I see that the monitor you purchased has been recalled by the manufacturer due to a technical issue. For safety reasons, we are requesting our customers to return the product, and we will be providing a full refund.

Customer: Oh, I see. That makes sense. Can you guide me through the process of returning the monitor?

Agent: Of course. We will be sending you a prepaid shipping label via email within the next 24 hours. Please print the label, pack the monitor securely in its original packaging, and drop it off at any UPS store. Once we receive the product, we will initiate the refund process, and you will receive your money within 5-7 business days.

Customer: Okay, that sounds straightforward. Thank you for explaining the process to me.

Agent: You're welcome. Is there anything else I can assist you with?

Customer: No, that's all for now. Thank you for your help.

Agent: You're welcome. If you have any other questions or concerns, please don't hesitate to reach out to us. Have a great day!

Customer: You too. Goodbye.

Agent: Goodbye.",ERROR,ERROR,ERROR,0.0,0,0,0
1,25179b9bd8ad7f40444c865b08580731db551a9bd268fdfe618094ff19484b72,Account Management,Login Issues,Mobile/Email Verification Problems,0.9,3455,0,0
2,eb2beb5b3a494a275d9fe1b25dd0f4786c3e82d356292c2a9880fff073066199,Returns & Exchanges,Return Processes,Return Eligibility,0.95,2962,0,0
1,25179b9bd8ad7f40444c865b08580731db551a9bd268fdfe618094ff19484b72,Account Management,Login Issues,Mobile/Email Verification Problems,0.9,3455,0,0
2,eb2beb5b3a494a275d9fe1b25dd0f4786c3e82d356292c2a9880fff073066199,Returns & Exchanges,Return Processes,Return Eligibility,0.95,2962,0,0
1,25179b9bd8ad7f40444c865b08580731db551a9bd268fdfe618094ff19484b72,Account Management,Login Issues,Mobile/Email Verification Problems,0.9,3455,0,0
2,eb2beb5b3a494a275d9fe1b25dd0f4786c3e82d356292c2a9880fff073066199,Returns & Exchanges,Return Processes,Return Eligibility,0.95,2962,0,0
3,3345d622b99aab4df45b59efba983e8e8e0e5f09946837cd8d5fd21fa9b71756,Product Issues,Wrong Items Received,Incorrect Product Shipped,0.9,16593,707,37
4,ff9122a1b0bbb71b9fa7c33689f9f5ea7fb8412d472c67f3963c1f2d8df4e3e2,Account Management,Login Issues,Password Reset Requests,0.9,11951,675,38
5,05d7cf3c536048da476edf517cf3b226e5b763657e4d02335697983181c75ec1,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.9,7600,838,32
6,6c96abadb617d13279fc89507007f61e9a33976f78db6e93635028592727e4c3,ERROR,ERROR,ERROR,0.0,0,0,0
7,b93f3b7ec0ef8f89582dc4dd210e45448a6727d31f9fb1ec58fef32e88555108,Billing & Payment,Refunds,Refund Status Checks,0.8,4803,731,34
8,d8212f794013cd4d5bf830c2d9df000ced348ed3c54b4c1f864cc562e2e89989,Inventory & Availability,Stock Issues,Out of Stock Products,1.0,5286,571,33
9,0ab9eaba25de815700055b5967e459b7b8193d39512628431d77946cd683645b,ERROR,ERROR,ERROR,0.0,0,0,0
10,b7a2ffb3dceea32ddb275b6ab4203324325b4f5a75b9f2d7eeb94beed94c3817,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.8,5054,645,32
11,d73f9b811bbf1c1946e182077b46d88c1bec631036691f160e0fdcc17774776d,Order Management,Order Modifications,Cancellation Requests,0.9,5041,468,33
12,897eee7ec22090f13d79d7f994eaca209db223126060666e64aa95f426ede91b,Warranty & Support,Warranty Information,Warranty Claim Processes,0.9,4980,611,33
13,72285ee372d6265f28c2da8f3e4a27cde6e621ebccd819aff78e6cc9021340fb,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,5021,555,38
14,72a48c7b69255c76c50446b8665583bc9328d73606cc36a7c27542bdac945611,Product Issues,Wrong Items Received,Size/Model Mismatches,0.95,11263,773,32
15,18fd44e37f72c7fde848fead484fd3043d33d3e61c6d6043c76aae7d349af06a,Product Issues,Defective Products,Not Working Properly,0.9,5008,798,39
16,610d42afdff06745c1193456aa2bf5f6a52a5cc937ab8504831f8497beabe08a,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.8,4690,582,39
17,7e43bcae27100554034e79f8450dfac829a6e817b629eef158f691301fec9002,Warranty & Support,Warranty Information,Warranty Terms and Conditions,1.0,4631,404,31
18,43d0ac03e441c403eb0461a7a5553e9be33f01e99872f6027e34513f6f43f1f2,Billing & Payment,Payment Issues,Credit Card Payment Failures,0.9,5047,683,35
19,a6365d85e0337c003717db4fc9ef300309dfb12770a803e4aad5b4d2d863d1bd,Billing & Payment,Refunds,Refund Status Checks,0.0,4728,776,31
20,a1efffd2b56b5a171ac620d5be53529b43e4f3f81d5d7b34103c85c22a686bec,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.9,5162,475,31
21,141af16e8fb7d10c5830a9e22ee0da72dea8aafbbb77a8d96e8fae39239f7e47,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,4713,827,32
22,2fede45ebb758cfeb42cee8aaf76dfc5d37a23917392e4ab2e37114181e0d8d1,Returns & Exchanges,Return Processes,Return Eligibility,0.95,5006,538,39
23,f1c09f2d7f5b85c9c60cb8d489846647ddbac1aab42bde65518bcdcae634e1be,Account Management,Login Issues,Password Reset Requests,0.95,4825,676,32
24,4d0e695b74937d8d6af093a35ffbdc22e08efe37e5f79d5143c13395d86dddf1,Delivery & Shipping,Shipping Options,Faster Delivery Requests,0.8,4956,658,33
1,25179b9bd8ad7f40444c865b08580731db551a9bd268fdfe618094ff19484b72,Account Management,Login Issues,Mobile/Email Verification Problems,0.9,3455,0,0
2,eb2beb5b3a494a275d9fe1b25dd0f4786c3e82d356292c2a9880fff073066199,Returns & Exchanges,Return Processes,Return Eligibility,0.95,2962,0,0
3,3345d622b99aab4df45b59efba983e8e8e0e5f09946837cd8d5fd21fa9b71756,Product Issues,Wrong Items Received,Incorrect Product Shipped,0.9,16593,707,37
4,ff9122a1b0bbb71b9fa7c33689f9f5ea7fb8412d472c67f3963c1f2d8df4e3e2,Account Management,Login Issues,Password Reset Requests,0.9,11951,675,38
5,05d7cf3c536048da476edf517cf3b226e5b763657e4d02335697983181c75ec1,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.9,7600,838,32
6,6c96abadb617d13279fc89507007f61e9a33976f78db6e93635028592727e4c3,ERROR,ERROR,ERROR,0.0,0,0,0
7,b93f3b7ec0ef8f89582dc4dd210e45448a6727d31f9fb1ec58fef32e88555108,Billing & Payment,Refunds,Refund Status Checks,0.8,4803,731,34
