conversation_id,conversation,primary_topic,secondary_topic,tertiary_topic,confidence
1,"Agent: How can I help you today? Customer: I can’t log into my account, I forgot my password. Agent: I can help you reset it. What’s your email?","Account Management","Login Issues","Password Reset Requests",0.95
2,"Agent: Thank you for calling. Customer: Hi, where is my order? I placed it 3 days ago. Agent: Let me check that for you.","Order Management","Order Status & Tracking","Delivery Status Inquiries",0.9
3,"Agent: How may I assist you? Customer: The product I received is broken, it won’t turn on. Agent: I’m sorry to hear that.","Product Issues","Defective Products","Not Working Properly",0.85
4,"Agent: Thank you for calling. Customer: I want to return an item I ordered yesterday. Agent: I’ll explain the return process.","Returns & Exchanges","Return Processes","Return Eligibility",0.92
5,"Agent: Hello. Customer: I was charged twice for my order. Agent: Let me check your payment details.","Billing & Payment","Payment Issues","Billing Discrepancies",0.91
6,"Agent: Thank you. Customer: Can you tell me if my product is still under warranty?","Warranty & Support","Warranty Information","Warranty Terms and Conditions",0.93
7,"Agent: Hello. Customer: My delivery is delayed. Agent: I’ll check with the courier.","Delivery & Shipping","Delivery Problems","Delayed Deliveries",0.9
8,"Agent: Hi. Customer: Is this product in stock? Agent: Let me check availability.","Inventory & Availability","Stock Issues","Availability Inquiries",0.88
9,"Agent: Hello. Customer: Why is the price higher than before?","Pricing & Promotions","Pricing Discrepancies","Different Prices for Same Products",0.87
10,"Agent: Hi. Customer: I didn’t receive an invoice for my order.","Documentation","Invoice Issues","Missing Invoices",0.94
11,"Agent: Hello. Customer: I can’t log in, the OTP isn’t coming.","Account Management","Login Issues","Mobile/Email Verification Problems",0.91
12,"Agent: Thank you. Customer: Please confirm if my order was placed.","Order Management","Order Status & Tracking","Order Confirmation Checks",0.9
13,"Agent: Hi. Customer: I received the wrong product.","Product Issues","Wrong Items Received","Incorrect Product Shipped",0.94
14,"Agent: Hello. Customer: Is there a fee for returning my item?","Returns & Exchanges","Return Processes","Return Fees and Policies",0.89
15,"Agent: Thank you. Customer: My refund hasn’t arrived yet.","Billing & Payment","Refunds","Refund Status Checks",0.94
16,"Agent: Hi. Customer: How long does a refund take?","Billing & Payment","Refunds","Refund Processing Times",0.93
